"BehaviorSpace results (NetLogo 4.1.3)"
"netlogoStadium.nlogo"
"maxGroupSize"
"07/11/2011 18:26:20:325 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","400","0","322"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"maxGroupSize","2","2","2","2","4","4","4","4","6","6","6","6","8","8","8","8","10","10","10","10","12","12","12","12","14","14","14","14","16","16","16","16","18","18","18","18","20","20","20","20"
"[steps]","2169","904","997","1064","1065","1203","1174","998","1160","1203","1695","963","984","791","917","684","1078","883","1196","885","1061","1212","1273","821","884","1154","1411","1163","792","1046","1475","933","1266","966","1298","863","1177","1587","1322","627"

"[initial & final values]","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks"
,"2169","904","997","1064","1065","1203","1174","998","1160","1203","1695","963","984","791","917","684","1078","883","1196","885","1061","1212","1273","821","884","1154","1411","1163","792","1046","1475","933","1266","966","1298","863","1177","1587","1322","627"
