3,,989,1150,1172,1037,,1087
5,,1156,1024,1209,1063,,1113
7,,1031,774,1279,1422,,1126.5
9,,1099,1107,1138,907,,1062.75
11,,1308,971,1061,1083,,1105.75
13,,1116,839,860,1327,,1035.5
15,,852,888,794,1558,,1023
17,,734,971,1011,957,,918.25
19,,982,737,820,732,,817.75
21,,902,715,996,740,,838.25
