"BehaviorSpace results (NetLogo 4.1.3)"
"netlogoStadium.nlogo"
"LeaderVolume"
"07/11/2011 19:01:50:377 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","400","0","322"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"leaderVolume","3","3","3","3","5","5","5","5","7","7","7","7","9","9","9","9","11","11","11","11","13","13","13","13","15","15","15","15","17","17","17","17","19","19","19","19","21","21","21","21"
"[steps]","1182","930","1102","1054","1239","1088","766","892","1120","812","966","1248","861","1369","1001","1209","1264","922","791","990","915","1042","955","1063","1188","986","828","965","868","844","1150","853","1094","1209","1015","910","875","915","1310","1170"

"[initial & final values]","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks"
,"1182","930","1102","1054","1239","1088","766","892","1120","812","966","1248","861","1369","1001","1209","1264","922","791","990","915","1042","955","1063","1188","986","828","965","868","844","1150","853","1094","1209","1015","910","875","915","1310","1170"
