"BehaviorSpace results (NetLogo 4.1.3)"
"netlogoStadium.nlogo"
"LeaderVolume"
"07/12/2011 16:51:43:682 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","400","0","322"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"leaderVolume","3","3","3","3","5","5","5","5","7","7","7","7","9","9","9","9","11","11","11","11","13","13","13","13","15","15","15","15","17","17","17","17","19","19","19","19","21","21","21","21"
"[steps]","952","1156","899","1184","1124","683","764","1099","1063","873","763","1131","881","1326","1222","1048","671","1041","926","882","790","1088","754","625","1056","907","861","739","628","779","738","789","929","699","881","639","808","736","721","931"

"[initial & final values]","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks"
,"952","1156","899","1184","1124","683","764","1099","1063","873","763","1131","881","1326","1222","1048","671","1041","926","882","790","1088","754","625","1056","907","861","739","628","779","738","789","929","699","881","639","808","736","721","931"
