"BehaviorSpace results (NetLogo 4.1.3)"
"netlogoStadium.nlogo"
"LeaderVolume"
"07/12/2011 17:41:45:840 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","400","0","322"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"leaderVolume","3","3","3","3","5","5","5","5","7","7","7","7","9","9","9","9","11","11","11","11","13","13","13","13","15","15","15","15","17","17","17","17","19","19","19","19","21","21","21","21"
"[steps]","1402","1263","1421","1044","999","1368","1101","1428","877","915","1097","994","990","1108","1186","1020","1141","1297","888","891","907","989","1057","1160","1011","851","751","1022","663","757","991","967","659","982","711","649","1045","1252","873","566"

"[initial & final values]","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks"
,"1402","1263","1421","1044","999","1368","1101","1428","877","915","1097","994","990","1108","1186","1020","1141","1297","888","891","907","989","1057","1160","1011","851","751","1022","663","757","991","967","659","982","711","649","1045","1252","873","566"
