"BehaviorSpace results (NetLogo 4.1.3)"
"netlogoStadium.nlogo"
"maxGroupSize"
"07/12/2011 17:05:18:036 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","400","0","322"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"maxGroupSize","2","2","2","2","4","4","4","4","6","6","6","6","8","8","8","8","10","10","10","10","12","12","12","12","14","14","14","14","16","16","16","16","18","18","18","18","20","20","20","20"
"[steps]","883","863","1007","976","956","864","1184","888","796","1120","1013","903","943","959","778","967","1160","830","1077","1301","969","883","662","672","1174","1007","1122","1036","927","1398","796","806","776","1174","984","682","1207","762","731","805"

"[initial & final values]","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks"
,"883","863","1007","976","956","864","1184","888","796","1120","1013","903","943","959","778","967","1160","830","1077","1301","969","883","662","672","1174","1007","1122","1036","927","1398","796","806","776","1174","984","682","1207","762","731","805"
