"BehaviorSpace results (NetLogo 4.1.3)"
"netlogoStadium.nlogo"
"maxGroupSize"
"07/12/2011 15:31:42:769 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","400","0","322"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"maxGroupSize","2","2","2","2","4","4","4","4","6","6","6","6","8","8","8","8","10","10","10","10","12","12","12","12","14","14","14","14","16","16","16","16","18","18","18","18","20","20","20","20"
"[steps]","984","845","1103","1071","1130","1489","1055","1089","801","737","1020","1172","902","1188","711","1032","1129","876","770","876","963","840","809","681","1018","773","808","811","942","973","976","1026","844","715","860","909","884","769","1023","863"

"[initial & final values]","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks","ticks"
,"984","845","1103","1071","1130","1489","1055","1089","801","737","1020","1172","902","1188","711","1032","1129","876","770","876","963","840","809","681","1018","773","808","811","942","973","976","1026","844","715","860","909","884","769","1023","863"
